Title                                                           02.12.2022 08:56
________________________________________________________________________________

Title
Evaluation Categories:

Curve Name:
  !&BBImp_22_03_04
Curve Values:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]        [Wg^-1]
            479            479        59.7529        59.8333      -0.271946
            480            480        59.9195             60      -0.272143
            481            481         60.086        60.1667      -0.272326
            482            482        60.2525        60.3333      -0.272527
            483            483        60.4191           60.5      -0.272707
            484            484        60.5856        60.6667      -0.272878
            485            485        60.7522        60.8333      -0.273047
            486            486        60.9187             61      -0.273188
            487            487        61.0853        61.1667      -0.273334
            488            488        61.2518        61.3333      -0.273482
            489            489        61.4184           61.5      -0.273631
            490            490        61.5849        61.6667      -0.273774
            491            491        61.7514        61.8333      -0.273917
            492            492         61.918             62      -0.274064
            493            493        62.0845        62.1667      -0.274211
            494            494        62.2511        62.3333      -0.274345
            495            495        62.4177           62.5      -0.274486
            496            496        62.5842        62.6667      -0.274631
            497            497        62.7507        62.8333      -0.274784
            498            498        62.9173             63      -0.274934
            499            499        63.0838        63.1667      -0.275082
            500            500        63.2504        63.3333      -0.275232
            501            501        63.4169           63.5      -0.275397
            502            502        63.5835        63.6667      -0.275587
            503            503          63.75        63.8333      -0.275789
            504            504        63.9165             64         -0.276
            505            505        64.0831        64.1667      -0.276216
            506            506        64.2496        64.3333      -0.276469
            507            507        64.4161           64.5      -0.276695
            508            508        64.5826        64.6667      -0.276907
            509            509        64.7492        64.8333      -0.277114
            510            510        64.9157             65      -0.277274
            511            511        65.0822        65.1667      -0.277443
            512            512        65.2488        65.3333      -0.277615
            513            513        65.4153           65.5      -0.277769
            514            514        65.5819        65.6667      -0.277855
            515            515        65.7485        65.8333      -0.277954
            516            516         65.915             66      -0.278073
            517            517        66.0816        66.1667      -0.278243
            518            518        66.2481        66.3333      -0.278252
            519            519        66.4147           66.5      -0.278307
            520            520        66.5813        66.6667      -0.278433
            521            521        66.7478        66.8333      -0.278614
            522            522        66.9143             67      -0.278855
            523            523        67.0809        67.1667      -0.279045
            524            524        67.2474        67.3333      -0.279236
            525            525        67.4139           67.5      -0.279438
            526            526        67.5804        67.6667      -0.279655
            527            527         67.747        67.8333      -0.279867
            528            528        67.9135             68      -0.280067
            529            529          68.08        68.1667      -0.280261
            530            530        68.2466        68.3333      -0.280468
            531            531        68.4131           68.5      -0.280661
            532            532        68.5796        68.6667      -0.280852
            533            533        68.7462        68.8333      -0.281034
            534            534        68.9127             69      -0.281207
            535            535        69.0792        69.1667      -0.281361
            536            536        69.2458        69.3333      -0.281527
            537            537        69.4123           69.5      -0.281698
            538            538        69.5789        69.6667      -0.281886
            539            539        69.7454        69.8333      -0.282091
            540            540        69.9119             70        -0.2823
            541            541        70.0784        70.1667      -0.282553
            542            542        70.2449        70.3333      -0.282833
            543            543        70.4114           70.5      -0.283119
            544            544        70.5779        70.6667      -0.283382
            545            545        70.7445        70.8333      -0.283655
            546            546         70.911             71      -0.283932
            547            547        71.0775        71.1667      -0.284205
            548            548         71.244        71.3333      -0.284468
            549            549        71.4105           71.5        -0.2848
            550            550        71.5769        71.6667      -0.285168
            551            551        71.7434        71.8333      -0.285588
            552            552        71.9099             72      -0.285974
            553            553        72.0763        72.1667      -0.286346
            554            554        72.2428        72.3333      -0.286706
            555            555        72.4093           72.5      -0.287046
            556            556        72.5758        72.6667      -0.287397
            557            557        72.7423        72.8333      -0.287757
            558            558        72.9087             73      -0.288116
            559            559        73.0752        73.1667       -0.28847
            560            560        73.2417        73.3333      -0.288826
            561            561        73.4081           73.5      -0.289228
            562            562        73.5746        73.6667      -0.289723
            563            563         73.741        73.8333      -0.290232
            564            564        73.9074             74      -0.290799
            565            565        74.0738        74.1667      -0.291491
            566            566        74.2402        74.3333      -0.292188
            567            567        74.4065           74.5      -0.292836
            568            568         74.573        74.6667       -0.29329
            569            569        74.7395        74.8333      -0.293529
            570            570         74.906             75      -0.293924
            571            571        75.0724        75.1667      -0.294342
            572            572        75.2389        75.3333      -0.294726
            573            573        75.4053           75.5      -0.295104
            574            574        75.5718        75.6667      -0.295482
            575            575        75.7383        75.8333      -0.295823
            576            576        75.9047             76       -0.29629
            577            577        76.0711        76.1667      -0.297056
            578            578        76.2374        76.3333      -0.297896
            579            579        76.4037           76.5      -0.298771
            580            580          76.57        76.6667       -0.29963
            581            581        76.7363        76.8333      -0.300488
            582            582        76.9026             77      -0.301343
            583            583        77.0689        77.1667      -0.302413
            584            584        77.2351        77.3333      -0.303657
            585            585        77.4012           77.5       -0.30492
            586            586        77.5675        77.6667      -0.305955
            587            587        77.7338        77.8333      -0.306815
            588            588        77.9001             78      -0.307662
            589            589        78.0664        78.1667       -0.30845
            590            590        78.2328        78.3333      -0.309184
